0.4248,0.1069,0.0296,0.0055,0.0026,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.7562,0.368,0.2055,0.091,0.0473,0.02,0.0101,0.0047,0.003,0.001,0.0002,0,0,0,0,0,0,0,0,0,
0.9169,0.6617,0.3186,0.1414,0.0757,0.0351,0.0176,0.0078,0.0048,0.0019,0.0006,0.0004,0.0001,0,0,0,0,0,0,0,
0.971,0.7912,0.6429,0.4357,0.2995,0.1926,0.1227,0.0773,0.0505,0.0305,0.0176,0.0136,0.0053,0.0033,0.0033,0.0016,0.0011,0.0005,0.0007,0,
0.9909,0.8897,0.7328,0.5821,0.4342,0.3255,0.2345,0.1642,0.1155,0.0772,0.0497,0.0354,0.024,0.0157,0.0098,0.007,0.0053,0.0037,0.0015,0.0009,
0.9967,0.9383,0.8545,0.7154,0.6096,0.4719,0.3747,0.2855,0.208,0.1502,0.1154,0.0747,0.0533,0.035,0.0279,0.0157,0.0131,0.0087,0.0051,0.004,
0.9985,0.9678,0.896,0.8281,0.697,0.6046,0.4752,0.4026,0.3089,0.2379,0.1824,0.1339,0.1001,0.071,0.0518,0.0411,0.028,0.0199,0.0117,0.008,
0.9997,0.9785,0.9494,0.8738,0.8081,0.6975,0.608,0.4937,0.4163,0.3366,0.2661,0.2046,0.1635,0.1181,0.0946,0.0637,0.049,0.0362,0.0276,0.0188,
0.9998,0.9906,0.9651,0.9257,0.855,0.7841,0.6979,0.6174,0.5175,0.4387,0.3586,0.3011,0.2317,0.1881,0.1411,0.1123,0.0791,0.0607,0.0484,0.0367,
0.9999,0.9934,0.9815,0.9497,0.9141,0.8422,0.7827,0.6978,0.6143,0.5313,0.4571,0.3805,0.3188,0.2451,0.2074,0.1572,0.1338,0.0953,0.0781,0.0554,
1,0.9963,0.9867,0.9687,0.9362,0.8919,0.835,0.7824,0.6936,0.6256,0.5404,0.4706,0.3999,0.3394,0.2761,0.2236,0.1806,0.1445,0.1147,0.0912,
1,0.9985,0.9938,0.9794,0.9627,0.9252,0.8868,0.8272,0.7695,0.7011,0.6344,0.5432,0.4857,0.4131,0.3526,0.2888,0.2457,0.2004,0.1617,0.1315,
1,0.9988,0.9951,0.9892,0.9721,0.9522,0.9156,0.8786,0.8218,0.7718,0.6937,0.6419,0.5546,0.4958,0.4293,0.3701,0.3088,0.2685,0.2088,0.1779,
1,0.9994,0.9988,0.9935,0.9857,0.9653,0.9448,0.9102,0.8701,0.8234,0.7707,0.7011,0.6394,0.5775,0.503,0.4394,0.3856,0.3188,0.275,0.2336,
1,1,0.9985,0.9971,0.9903,0.9801,0.9592,0.9337,0.9035,0.8722,0.818,0.7686,0.704,0.6512,0.5643,0.5195,0.4479,0.3943,0.3362,0.2911,
1,1,0.9992,0.9981,0.9932,0.9869,0.9752,0.9537,0.9338,0.8889,0.8649,0.8176,0.7661,0.7075,0.649,0.5855,0.5225,0.4584,0.4108,0.3527,
1,0.9998,0.9997,0.9986,0.9968,0.9901,0.9837,0.9692,0.9494,0.9292,0.8947,0.8622,0.8045,0.7689,0.7011,0.6504,0.589,0.5393,0.4716,0.4267,
1,1,0.9999,0.9989,0.9978,0.994,0.9906,0.9781,0.9673,0.9442,0.9248,0.8893,0.8519,0.8025,0.764,0.6979,0.6504,0.5959,0.5466,0.4832,
1,1,0.9997,0.9995,0.9986,0.9956,0.9921,0.9868,0.9757,0.9604,0.938,0.9218,0.8817,0.8524,0.8121,0.7621,0.722,0.662,0.6025,0.5616,
1,1,0.9999,0.9996,0.9991,0.9984,0.9949,0.9925,0.9854,0.9714,0.9552,0.9349,0.9176,0.8861,0.856,0.7951,0.7654,0.7101,0.6629,0.6097,
